Code,Category,Year,Emissions
BLZ,4B,1970,0.0044164159
BLZ,4D1,1970,0.15791067320000002
BLZ,4D2,1970,0.03706247900000001
BLZ,4D3,1970,0.018938132
BLZ,4F,1970,0.0051771092
BLZ,6B,1970,0.004527158999999999
BLZ,7B,1970,0.00479966
BLZ,7C,1970,0.00115806
BMU,1A1a,1970,0.0008002596
BMU,1A1bc,1970,
BMU,1A2,1970,0.00097532306
BMU,1A3a,1970,
BMU,1A3b,1970,0.0001246785723
BMU,1A3d,1970,
BMU,1A3e,1970,
BMU,1A4,1970,0.002381656864
BMU,1B1,1970,1.74531e-06
BMU,1B2,1970,
BMU,3D,1970,5.75146e-07
BMU,4B,1970,0.00027530331
BMU,4D1,1970,0.00228009468
BMU,4D2,1970,0.0010482174499999999
BMU,4D3,1970,0.00115753763
BMU,4F,1970,1.4153810000000001e-06
BMU,6B,1970,0.0033643279999999998
BMU,7B,1970,0.00394591
BMU,7C,1970,0.000771788
BRB,1A1a,1970,0.003222746
BRB,1A1bc,1970,
BRB,1A2,1970,0.00400228234
BRB,1A3a,1970,
BRB,1A3b,1970,0.000574662659
BRB,1A3d,1970,
BRB,1A3e,1970,
BRB,1A4,1970,0.0021066566639999997
BRB,1B1,1970,6.05815e-05
BRB,1B2,1970,
BRB,3D,1970,2.627317e-06
BRB,4B,1970,0.0080303884
BRB,4D1,1970,0.05608400639999999
BRB,4D2,1970,0.034131063
BRB,4D3,1970,0.028858604
BRB,4F,1970,0.010166794861999999
BRB,6B,1970,0.010624600000000001
BRB,7B,1970,0.0422569
BRB,7C,1970,0.00187946
CRI,1A1a,1970,0.0011592605
CRI,1A1bc,1970,0.0007032
CRI,1A2,1970,0.025478900000000002
CRI,1A3a,1970,
CRI,1A3b,1970,0.00855165985
CRI,1A3d,1970,
CRI,1A3e,1970,0.0030396
CRI,1A4,1970,0.0178714
CRI,1B1,1970,0.000615
CRI,2B,1970,
CRI,3D,1970,2.033757e-05
CRI,4B,1970,0.07646227
CRI,4D1,1970,0.983624122
CRI,4D2,1970,1.8126415439999999
CRI,4D3,1970,0.4724064
CRI,4F,1970,0.0189668252
CRI,6B,1970,0.062426100000000005
CRI,7B,1970,0.056491
CRI,7C,1970,0.015579206
CUB,1A1a,1970,0.09605759999999998
CUB,1A1bc,1970,0.0004355
CUB,1A2,1970,0.4780608
CUB,1A3b,1970,0.072891861
CUB,1A3d,1970,0.019774
CUB,1A3e,1970,
CUB,1A4,1970,0.3080478
CUB,1B1,1970,0.00954
CUB,1B2,1970,1.155066e-05
CUB,2B,1970,1.7404
CUB,3D,1970,9.586631999999999e-05
CUB,4B,1970,0.47403713000000003
CUB,4D1,1970,11.262346335000004
CUB,4D2,1970,7.157594
CUB,4D3,1970,2.2028609
CUB,4F,1970,0.5892665147
CUB,6B,1970,0.3321364
CUB,7B,1970,0.6320221097000001
CUB,7C,1970,0.16715116000000002
CYM,1A1a,1970,8.978053e-05
CYM,1A1bc,1970,
CYM,1A2,1970,0.00029056218
CYM,1A3a,1970,
CYM,1A3b,1970,2.298957015e-05
CYM,1A3d,1970,
CYM,1A3e,1970,
CYM,1A4,1970,0.0004940851932000001
CYM,1B1,1970,5.4137e-07
CYM,1B2,1970,
CYM,3D,1970,1.0058400000000001e-07
CYM,4B,1970,8.9180703e-05
CYM,4D1,1970,9.960283599999998e-05
CYM,4D2,1970,0.004144484899999999
CYM,4D3,1970,0.0004940669970000001
CYM,4F,1970,1.336426e-07
CYM,7B,1970,0.0013179
CYM,7C,1970,0.000182593
DMA,1A1a,1970,6.435238000000001e-05
DMA,1A1bc,1970,
DMA,1A2,1970,0.0011569357399999999
DMA,1A3a,1970,
DMA,1A3b,1970,0.00014092664
DMA,1A3d,1970,
DMA,1A3e,1970,
DMA,1A4,1970,0.0001341706341
DMA,1B1,1970,6.14725e-06
DMA,1B2,1970,
DMA,3D,1970,7.81836e-07
DMA,4B,1970,0.0018983644800000003
DMA,4D1,1970,0.021923057719999993
DMA,4D2,1970,0.004838225
DMA,4D3,1970,0.0080182507
DMA,4F,1970,4.397408e-05
DMA,6B,1970,0.002170089
DMA,7B,1970,0.00144228
DMA,7C,1970,0.000399388
DOM,1A1a,1970,0.014089359999999999
DOM,1A1bc,1970,
DOM,1A2,1970,0.0880331
DOM,1A3b,1970,0.036713846200000004
DOM,1A3e,1970,2.4e-05
DOM,1A4,1970,0.0772708
DOM,1B1,1970,0.022945
DOM,3D,1970,4.9534210000000005e-05
DOM,4B,1970,0.20018632999999997
DOM,4D1,1970,0.5924749089
DOM,4D2,1970,1.41472727
DOM,4D3,1970,0.43814893999999993
DOM,4F,1970,0.06714915240999998
DOM,6B,1970,0.1177184
DOM,6C,1970,0.00184096
DOM,7B,1970,0.138637
DOM,7C,1970,0.0613509
GLP,1A1a,1970,0.0015424965
GLP,1A1bc,1970,
GLP,1A2,1970,0.00514853964
GLP,1A3a,1970,
GLP,1A3b,1970,0.0007440107
GLP,1A3d,1970,
GLP,1A3e,1970,
GLP,1A4,1970,0.0035271128970000005
GLP,1B1,1970,3.38338e-05
GLP,1B2,1970,
GLP,3D,1970,3.5126190000000004e-06
GLP,4B,1970,0.006388515070000001
GLP,4D1,1970,0.0490673776
GLP,4D2,1970,0.08762367900000001
GLP,4D3,1970,0.031582125
GLP,4F,1970,0.013000833906000002
GLP,7B,1970,0.0212743
GLP,7C,1970,0.00236244
GRD,1A1a,1970,8.397431999999999e-05
GRD,1A1bc,1970,
GRD,1A2,1970,0.00140395087
GRD,1A3a,1970,
GRD,1A3b,1970,0.0001871588
GRD,1A3d,1970,
GRD,1A3e,1970,
GRD,1A4,1970,0.0002323473328
GRD,1B1,1970,1.98159e-05
GRD,1B2,1970,
GRD,3D,1970,1.03873e-06
GRD,4B,1970,0.0009503729999999999
GRD,4D1,1970,0.0028429474000000003
GRD,4D2,1970,0.010235410120000002
GRD,4D3,1970,0.0028692877
GRD,4F,1970,0.000148509013
GRD,6B,1970,0.003435139
GRD,7B,1970,0.00188516
GRD,7C,1970,0.000496737
GTM,1A1a,1970,0.004501888
GTM,1A1bc,1970,0.0005642
GTM,1A2,1970,0.0657671
GTM,1A3b,1970,0.017987856160000003
GTM,1A3e,1970,
GTM,1A4,1970,0.2457706
GTM,1B1,1970,0.009855
GTM,1B2,1970,
GTM,3D,1970,5.965718e-05
GTM,4B,1970,0.22809443000000001
GTM,4D1,1970,0.9820378966000003
GTM,4D2,1970,1.6989629000000002
GTM,4D3,1970,0.5434072
GTM,4F,1970,0.03739730698
GTM,6B,1970,0.1962971
GTM,7B,1970,0.0913818
GTM,7C,1970,0.11908
HND,1A1a,1970,0.0010914
HND,1A1bc,1970,0.00048729999999999997
HND,1A2,1970,0.0234708
HND,1A3b,1970,0.009304475
HND,1A4,1970,0.15619029999999998
HND,1B1,1970,0.00077
HND,3D,1970,2.960441e-05
HND,4B,1970,0.22333640000000002
HND,4D1,1970,2.4755078741
HND,4D2,1970,1.613128974
HND,4D3,1970,0.45204927000000006
HND,4F,1970,0.01812055694
HND,6B,1970,0.0920134
HND,7B,1970,0.0505198
HND,7C,1970,0.0674717
HTI,1A1a,1970,0.0007896
HTI,1A1bc,1970,2.58e-05
HTI,1A2,1970,0.022635799999999998
HTI,1A3b,1970,0.001865567
HTI,1A3e,1970,0.0005454
HTI,1A4,1970,0.1543679
HTI,1B1,1970,0.03311
HTI,3D,1970,5.337497e-05
HTI,4B,1970,0.39781057509999995
HTI,4D1,1970,0.478365908
HTI,4D2,1970,1.5331657
HTI,4D3,1970,0.418438996
HTI,4F,1970,0.03559123795
HTI,6B,1970,0.1288273
HTI,7B,1970,0.0339684
HTI,7C,1970,0.0805127
JAM,1A1a,1970,0.04328015290000001
JAM,1A1bc,1970,0.0013406
JAM,1A2,1970,0.015191999999999999
JAM,1A3a,1970,0.0004479998
JAM,1A3b,1970,0.030150794
JAM,1A3c,1970,0.0781924
JAM,1A3e,1970,
JAM,1A4,1970,0.0033569
JAM,1B1,1970,0.00231
JAM,3D,1970,2.060685e-05
JAM,4B,1970,0.051020003999999994
JAM,4D1,1970,0.2418487711
JAM,4D2,1970,0.38663083
JAM,4D3,1970,0.15274967999999997
JAM,4F,1970,0.029256779219999998
JAM,6B,1970,0.0877725
JAM,7B,1970,0.166368
JAM,7C,1970,0.00592699
KNA,1A1a,1970,6.618962e-05
KNA,1A1bc,1970,
KNA,1A2,1970,0.000679139094
KNA,1A3a,1970,
KNA,1A3b,1970,0.00010434323
KNA,1A3d,1970,
KNA,1A3e,1970,
KNA,1A4,1970,0.0006082642746999999
KNA,1B1,1970,1.34418e-06
KNA,1B2,1970,
KNA,3D,1970,4.93702e-07
KNA,4B,1970,0.0005713499000000001
KNA,4D1,1970,0.005052684849999999
KNA,4D2,1970,0.010966779999999999
KNA,4D3,1970,0.004132852
KNA,4F,1970,0.002315241388
KNA,6B,1970,0.0012136389999999999
KNA,7B,1970,0.00132376
KNA,7C,1970,0.000324916
LCA,1A1a,1970,0.00016804266
LCA,1A1bc,1970,
LCA,1A2,1970,0.0018549043
LCA,1A3a,1970,
LCA,1A3b,1970,0.000241991
LCA,1A3d,1970,
LCA,1A3e,1970,
LCA,1A4,1970,0.0006612261153999999
LCA,1B1,1970,8.6307e-06
LCA,1B2,1970,
LCA,3D,1970,1.145782e-06
LCA,4B,1970,0.0031849511600000003
LCA,4D1,1970,0.02498315577
LCA,4D2,1970,0.013992296000000001
LCA,4D3,1970,0.010127005000000001
LCA,4F,1970,8.672246900000001e-05
LCA,6B,1970,0.003294516
LCA,7B,1970,0.00303316
LCA,7C,1970,0.000719766
MSR,1A1a,1970,1.8607147e-05
MSR,1A1bc,1970,
MSR,1A2,1970,0.00018755847199999998
MSR,1A3a,1970,
MSR,1A3b,1970,2.701621e-05
MSR,1A3d,1970,
MSR,1A3e,1970,
MSR,1A4,1970,8.926468233e-05
MSR,1B1,1970,3.71109e-07
MSR,1B2,1970,
MSR,3D,1970,1.27919e-07
MSR,4B,1970,0.00068988568
MSR,4D1,1970,0.001377147975
MSR,4D2,1970,0.008586657
MSR,4D3,1970,0.001781781813
MSR,4F,1970,2.5086310000000003e-07
MSR,7B,1970,0.000337599
MSR,7C,1970,7.66427e-05
MTQ,1A1a,1970,0.00233793742
MTQ,1A1bc,1970,
MTQ,1A2,1970,0.0052000946
MTQ,1A3a,1970,
MTQ,1A3b,1970,0.000756791
MTQ,1A3d,1970,
MTQ,1A3e,1970,
MTQ,1A4,1970,0.002185705242
MTQ,1B1,1970,3.56103e-05
MTQ,1B2,1970,
MTQ,3D,1970,3.575187e-06
MTQ,4B,1970,0.00875756719
MTQ,4D1,1970,0.07010867249999998
MTQ,4D2,1970,0.05858818
MTQ,4D3,1970,0.033350501
MTQ,4F,1970,0.00344653299
MTQ,7B,1970,0.027201
MTQ,7C,1970,0.00222273
NIC,1A1a,1970,0.0028485760000000002
NIC,1A1bc,1970,0.0003858
NIC,1A2,1970,0.0278301
NIC,1A3a,1970,0.0006279992
NIC,1A3b,1970,0.012946100000000002
NIC,1A3d,1970,0.00052
NIC,1A4,1970,0.1012503
NIC,1B1,1970,0.002
NIC,3D,1970,2.637899e-05
NIC,4B,1970,0.19370691
NIC,4D1,1970,4.2242467648
NIC,4D2,1970,2.852633241
NIC,4D3,1970,0.59539633
NIC,4F,1970,0.02177385718
NIC,6B,1970,0.0897136
NIC,7B,1970,0.0625254
NIC,7C,1970,0.045524
PAN,1A1a,1970,0.00512850152
PAN,1A1bc,1970,0.0015542
PAN,1A2,1970,0.0107932
PAN,1A3b,1970,0.022768119
PAN,1A3e,1970,
PAN,1A4,1970,0.0460101
PAN,1B1,1970,0.000155
PAN,3D,1970,1.6712189999999998e-05
PAN,4B,1970,0.0699340685
PAN,4D1,1970,0.41212042699999996
PAN,4D2,1970,1.4536503800000002
PAN,4D3,1970,0.30687564
PAN,4F,1970,0.014039295899999998
PAN,6B,1970,0.0567674
